29.67,49.05,0
29.78,48.47,0
29.97,48.03,0
30.24,47.58,0
30.54,47.10,0
30.91,46.69,0
31.18,46.40,0
31.45,45.98,0
31.75,45.42,0
31.99,45.39,0
32.22,47.58,0
32.40,47.13,0
32.59,45.97,0
32.78,45.01,0
32.95,44.22,0
33.10,43.57,1
33.25,43.12,1
33.38,42.77,1
33.51,42.40,1
33.63,42.15,1
33.73,41.97,1
33.83,41.83,1
33.91,41.73,1
34.00,41.64,1
34.09,41.62,1
34.16,41.48,1
34.22,41.28,1
34.28,41.10,1
34.33,40.93,1
34.39,40.92,1
34.43,41.02,1
34.47,41.12,1
34.50,41.19,1
34.51,41.16,1
34.55,41.16,1
34.56,41.28,1
34.57,41.24,1
34.55,41.06,1
34.55,41.02,1
34.54,41.00,1
34.46,41.23,1
34.33,41.49,1
34.21,41.65,1
34.11,41.52,1
33.98,41.64,1
33.89,41.51,1
33.77,41.34,1
33.67,41.20,1
33.58,41.23,1
33.49,41.26,1
30.34,43.99,0
30.31,44.01,0
30.27,44.11,0
30.23,44.26,0
30.19,44.20,0
30.18,44.15,0
30.14,44.08,0
30.10,44.13,0
30.07,44.21,0
30.04,44.24,0
29.98,44.18,0
29.96,44.29,0
29.93,44.39,0
29.89,44.57,0
29.86,44.48,0
29.84,44.54,0
29.81,44.66,0
29.77,44.76,0
29.78,44.56,0
29.74,44.54,0
29.69,44.50,0
29.68,44.48,0
29.65,44.37,0
29.63,44.35,0
29.61,44.36,0
29.60,44.50,0
29.56,44.69,0
29.53,44.86,0
29.50,45.02,0
29.49,45.10,0
29.45,45.09,0
29.45,45.01,0
29.42,45.11,0
29.41,45.17,0
29.39,45.14,0
29.36,45.16,0
29.34,45.08,0
29.33,45.03,0
29.29,45.03,0
29.28,45.01,0
29.28,44.98,0
29.25,44.85,0
29.23,44.79,0
29.23,44.71,0
29.19,44.59,0
29.17,44.53,0
29.14,44.65,0
29.13,44.79,0
29.13,44.86,0
29.07,45.09,0
29.08,45.29,0
29.07,45.38,0
29.04,45.38,0
29.02,45.37,0
37.78,35.29,1
37.86,35.18,1
37.92,35.00,1
38.02,34.84,1
38.11,34.81,1
38.21,34.68,1
38.26,34.56,1
38.32,34.50,1
38.39,34.46,1
38.40,34.42,1
38.46,34.43,1
38.52,34.39,1
38.59,34.37,1
38.68,34.21,1
38.77,33.97,1
38.86,33.80,1
38.96,33.67,1
39.04,33.57,1
39.13,33.54,1
39.21,33.59,1
39.28,33.62,1
39.36,33.55,1
39.40,33.52,1
39.45,33.56,1
39.48,33.52,1
39.53,33.46,1
39.57,33.47,1
39.61,33.47,1
39.65,33.44,1
39.70,33.41,1
39.76,33.35,1
39.80,33.26,1
39.86,33.22,1
39.92,33.24,1
39.98,33.19,1
40.02,33.22,1
40.06,33.27,1
40.12,33.22,1
40.17,33.18,1
40.20,33.16,1
40.24,33.13,1
